timestamp,gpu_id,utilization_gpu,memory_used,memory_total,temperature,power_draw,process_info
2026/02/02 12:49:58.196,3,89,47718,81559,30,149.94,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:58.199,4,92,48836,81559,32,146.32,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:58.201,5,81,48980,81559,29,144.14,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:58.203,6,86,48932,81559,30,149.45,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:58.206,7,92,48500,81559,27,145.57,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:49:59.568,0,15,48222,81559,31,148.64,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:49:59.575,1,76,48198,81559,33,147.68,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
2026/02/02 12:49:59.579,2,89,48150,81559,29,149.93,ray::WorkerDict.wake_up; sglang::scheduler_TP2_EP2
2026/02/02 12:49:59.582,3,81,47718,81559,30,152.81,ray::WorkerDict.wake_up; sglang::scheduler_TP3_EP3
2026/02/02 12:49:59.584,4,79,48836,81559,32,146.31,ray::WorkerDict.wake_up; sglang::scheduler_TP4_EP4
2026/02/02 12:49:59.589,5,87,48980,81559,28,145.03,ray::WorkerDict.wake_up; sglang::scheduler_TP5_EP5
2026/02/02 12:49:59.591,6,84,48932,81559,30,151.00,ray::WorkerDict.wake_up; sglang::scheduler_TP6_EP6
2026/02/02 12:49:59.600,7,75,48500,81559,27,146.63,ray::WorkerDict.wake_up; sglang::scheduler_TP7_EP7
2026/02/02 12:50:00.989,0,26,48222,81559,31,146.54,ray::WorkerDict.wake_up; sglang::scheduler_TP0_EP0
2026/02/02 12:50:00.996,1,81,48198,81559,32,145.41,ray::WorkerDict.wake_up; sglang::scheduler_TP1_EP1
